,Name,AER,cgDIST,GT,Deadweight
11616,ARTEMIS SEAWAYS,32.69594362323823,13.091878871300757,29060.0,11636.0
11617,ASPENDOS SEAWAYS,31.949982811962872,12.793186510667585,29060.0,11636.0
11618,DARDANELLES SEAWAYS,33.12048814025438,13.2618719889883,29060.0,11636.0
11619,AMILCAR,25.414084507042254,15.758951965065503,22900.0,14200.0
11620,ELYSSA,27.151408450704224,16.836244541484717,22900.0,14200.0
11621,ARK GERMANIA,35.77172389628591,12.258577732416775,33313.0,11416.0
11622,ARK DANIA,38.43114926419061,13.169933659532315,33313.0,11416.0
11623,AMANDINE,26.78358653559726,10.675274562184624,33690.0,13428.0
11624,OPALINE,26.021281345338195,10.297408716136632,33960.0,13439.0
11625,VESPERTINE,22.995926258371885,10.626994256541161,31340.0,14483.0
11626,PEREGRINE,23.103590590177465,13.123901066697925,25593.0,14538.0
11627,MAZARINE,22.482820230896095,10.439374601148693,31340.0,14552.0
11628,PALATINE,22.797116374871266,10.594767070835992,31340.0,14565.0
11629,MAGNOLIA SEAWAYS,42.80964735274335,13.698613289056976,32523.0,10407.0
11630,PETUNIA SEAWAYS,40.55635629864514,12.977585093626049,32523.0,10407.0
11631,SUPER FAST BALEARES,75.38067061143984,24.65836505581005,30998.0,10140.0
11632,JOSE MARIA ENTRECANALES,59.84516765285996,19.57642428543777,30998.0,10140.0
11633,EUROCARGO VENEZIA,38.75150952159777,12.702414664596084,32841.0,10765.0
11634,EUROCARGO PALERMO,45.464252553389045,14.91062456225829,32839.0,10770.0
11635,EUROCARGO ALEXANDRIA,38.59370648844333,12.659318576256737,32843.0,10773.0
11636,EUROCARGO RAVENNA,37.36617496984878,12.264242867147773,32841.0,10779.0
11637,EUROCARGO LIVORNO,38.31539888682746,12.583092155369384,32825.0,10780.0
11638,EUROCARGO BARI,39.83766233766234,13.083015993907082,32825.0,10780.0
11639,EUROCARGO CAGLIARI,41.711502782931355,13.691309908044577,32842.0,10780.0
11640,EUROCARGO GENOVA,39.639146567717994,13.010291072950919,32844.0,10780.0
11641,EUROCARGO ROMA,42.684961987761916,14.019915344559822,32839.0,10786.0
11642,EUROCARGO MALTA,39.73857420969686,13.052586705642337,32841.0,10787.0
11643,PAULINE,30.71374023380133,10.634178090550382,49166.0,17023.0
11644,YASMINE,29.28684720672032,10.14013749338974,49166.0,17023.0
11645,ULUSOY-15,22.717103771445846,9.529803424223209,31540.0,13231.0
11646,ULUSOY-14,23.293779759655354,9.730071033938437,31675.0,13231.0
11647,FADIQ,36.746535314743696,13.431492218492524,32770.0,11978.0
11648,GARDENIA SEAWAYS,41.13967022308439,13.11695942602672,32336.0,10310.0
11649,TULIPA SEAWAYS,41.31910766246363,13.174171202375062,32336.0,10310.0
11650,ALF POLLAK,43.30716200689391,13.732693709011416,32936.0,10444.0
11651,MARIA GRAZIA ONORATO,43.028533129069324,13.644340539227592,32936.0,10444.0
11652,MELEQ,32.79846385039239,11.988404028074457,32770.0,11978.0
11653,PERGAMON SEAWAYS,32.82161753590325,13.743630321253363,31595.0,13230.0
11654,LAURELINE,14.923114237205919,6.098764942608489,50443.0,20615.0
11655,YSALINE,14.43948581130245,5.901116111254287,50443.0,20615.0
11656,SIXTINE,15.21076885762794,6.2163233748984,50443.0,20615.0
11657,HERMINE,14.78146980354111,6.040877822492715,50443.0,20615.0
11658,UN AKDENIZ,25.073416024136776,10.923297114148848,34236.0,14915.0
11659,SUMELA SEAWAYS,25.066040898424404,10.920084121976867,34236.0,14915.0
11660,CEMIL BAYULGEN,24.920970835262217,11.013590530469093,34215.0,15121.0
11661,MYRA SEAWAYS,24.89376908582938,11.191143825213226,34236.0,15391.0
11662,FREESIA SEAWAYS,32.11933007676204,12.131843222014286,37939.0,14330.0
11663,FICARIA SEAWAYS,30.464665415884927,12.839821819236143,37939.0,15990.0
11664,PRIMULA SEAWAYS,34.889380530973455,12.870080294853231,37985.0,14012.0
11665,BEGONIA SEAWAYS,32.14087631724903,12.219615698885052,37939.0,14424.0
11666,CELINE,21.198035178964858,7.902064007108909,74273.0,27687.0
11667,DELPHINE,20.3915194856792,7.6014163962678225,74273.0,27687.0
11668,HOLLANDIA SEAWAYS,35.187118723603945,9.920946001819233,60465.0,17048.0
